beta	category	phenocode	phenostring	pval	phewas_code	phewas_string	category_name
0.1961	Pregnancy, childbirth and the puerperium	O15_MULTIP_GEST	Multiple gestation	0.09728	O15_MULTIP_GEST	Multiple gestation	Pregnancy, childbirth and the puerperium
-0.5026	Diseases of the respiratory system	J10_RESPCONDEXT	Respiratory conditions due to other external agents	0.09783	J10_RESPCONDEXT	Respiratory conditions due to other external agents	Diseases of the respiratory system
-0.3303	Neoplasms from cancer register	C3_SECONDARY_WITHOUT_SITESPEC	Malignant neoplasm, without specification of site	0.09806	C3_SECONDARY_WITHOUT_SITESPEC	Malignant neoplasm, without specification of site	Neoplasms from cancer register
-0.0589	Diseases of the digestive system	K11_HERING	Inguinal hernia	0.09816	K11_HERING	Inguinal hernia	Diseases of the digestive system
0.1219	Rheuma endpoints	GOUT	Gout, FINNGEN	0.09827	GOUT	Gout, FINNGEN	Rheuma endpoints
0.1	Diseases of the digestive system	K11_OTHDISDIG	Other diseases of the digestive system	0.09839	K11_OTHDISDIG	Other diseases of the digestive system	Diseases of the digestive system
-0.1292	Diseases of the nervous system	G6_ALZHEIMER_EXMORE	Alzheimer disease (more controls excluded)	0.09986	G6_ALZHEIMER_EXMORE	Alzheimer disease (more controls excluded)	Diseases of the nervous system
0.1923	Diseases of the ear and mastoid process	H8_EUSTSALP	Eustachian salpingitis and obstruction	0.1004	H8_EUSTSALP	Eustachian salpingitis and obstruction	Diseases of the ear and mastoid process
0.2346	Pregnancy, childbirth and the puerperium	O15_DELIV_MULTIP	Multiple delivery	0.1009	O15_DELIV_MULTIP	Multiple delivery	Pregnancy, childbirth and the puerperium
0.1252	Injury, poisoning and certain other consequences of external causes	ST19_COMPLICATIO_INTERNAL_ORTHOPA_PROSTHET_DEVICES_IMPLANTS_GRAFTS	Complications of internal orthopaedic prosthetic devices, implants and grafts	0.101	ST19_COMPLICATIO_INTERNAL_ORTHOPA_PROSTHET_DEVICES_IMPLANTS_GRAFTS	Complications of internal orthopaedic prosthetic devices, implants and grafts	Injury, poisoning and certain other consequences of external causes
-0.2561	Neoplasms from hospital discharges	CD2_BENIGN_FEMALE_GEN_OTH_EXALLC	Benign neoplasm of other and unspecified female genital organs (other cancers excluded from controls)	0.1011	CD2_BENIGN_FEMALE_GEN_OTH_EXALLC	Benign neoplasm of other and unspecified female genital organs (other cancers excluded from controls)	Neoplasms from hospital discharges
-0.1804	Other	FALLS	Falls/tendenct to fall	0.1016	FALLS	Falls/tendenct to fall	Other
0.078	Diseases of the digestive system	K11_OTHDIG	Other diseases of the digestive system	0.1021	K11_OTHDIG	Other diseases of the digestive system	Diseases of the digestive system
-0.0815	Diseases of the eye and adnexa	H7_CATARACTOTHER	Other cataract	0.1025	H7_CATARACTOTHER	Other cataract	Diseases of the eye and adnexa
-0.1072	Certain infectious and parasitic diseases	AB1_MYCOSES	Mycoses	0.1033	AB1_MYCOSES	Mycoses	Certain infectious and parasitic diseases
0.3921	Other	ALCOGASTRITIS	Alcoholic gastritis	0.1034	ALCOGASTRITIS	Alcoholic gastritis	Other
0.0749	Diseases of the circulatory system	I9_TIA	Transient ischemic attack	0.1036	I9_TIA	Transient ischemic attack	Diseases of the circulatory system
-0.2105	Neoplasms from hospital discharges	CD2_INSITU_BREAST	Carcinoma in situ of breast	0.1039	CD2_INSITU_BREAST	Carcinoma in situ of breast	Neoplasms from hospital discharges
-0.2534	Pregnancy, childbirth and the puerperium	O15_OBSTET_TRAUMA_OTHER	Other obstetric trauma	0.1041	O15_OBSTET_TRAUMA_OTHER	Other obstetric trauma	Pregnancy, childbirth and the puerperium
-0.1902	Mental and behavioural disorders	F5_MENTALUNSPE	Mental disorders, not otherwise specified	0.1043	F5_MENTALUNSPE	Mental disorders, not otherwise specified	Mental and behavioural disorders
-0.526	Neoplasms from cancer register	C3_SECONDARY_NAS_EXALLC	Secondary malignant neoplasm of other and unspecified sites (other cancers excluded from controls)	0.1048	C3_SECONDARY_NAS_EXALLC	Secondary malignant neoplasm of other and unspecified sites (other cancers excluded from controls)	Neoplasms from cancer register
0.3147	Diseases of the musculoskeletal system and connective tissue	M13_CHONDROMALACIA	Chondromalacia	0.1054	M13_CHONDROMALACIA	Chondromalacia	Diseases of the musculoskeletal system and connective tissue
0.223	Diseases of the eye and adnexa	H7_VISDISTNAS	Other and unspecified visual disturbances	0.1055	H7_VISDISTNAS	Other and unspecified visual disturbances	Diseases of the eye and adnexa
-0.5241	Neoplasms from cancer register	C3_SECONDARY_NAS	Secondary malignant neoplasm of other and unspecified sites	0.1057	C3_SECONDARY_NAS	Secondary malignant neoplasm of other and unspecified sites	Neoplasms from cancer register
0.1128	Diseases of the genitourinary system	N14_SALPHOOPH	Salphingitis and oophoritis	0.1061	N14_SALPHOOPH	Salphingitis and oophoritis	Diseases of the genitourinary system
0.12	Diseases of the musculoskeletal system and connective tissue	M13_GOUT	Gout	0.1074	M13_GOUT	Gout	Diseases of the musculoskeletal system and connective tissue
0.3346	Injury, poisoning and certain other consequences of external causes	ST19_DISLO_SPRAIN_STRAIN_JOINT_LIGAM_HIP	Dislocation, sprain and strain of joint and ligaments of hip	0.1078	ST19_DISLO_SPRAIN_STRAIN_JOINT_LIGAM_HIP	Dislocation, sprain and strain of joint and ligaments of hip	Injury, poisoning and certain other consequences of external causes
0.3861	Diseases of the digestive system	K11_ALCGASTR	Alcoholic gastritis	0.1088	K11_ALCGASTR	Alcoholic gastritis	Diseases of the digestive system
0.2218	Endocrine, nutritional and metabolic diseases	E4_HYPOPIT	Hypopituitarism	0.1089	E4_HYPOPIT	Hypopituitarism	Endocrine, nutritional and metabolic diseases
-0.1622	Diseases of the musculoskeletal system and connective tissue	M13_ACHILLESTEND	Achilles tendinitis	0.1089	M13_ACHILLESTEND	Achilles tendinitis	Diseases of the musculoskeletal system and connective tissue
0.1065	Injury, poisoning and certain other consequences of external causes	ST19_FRACT_FEMUR	Fracture of femur	0.1093	ST19_FRACT_FEMUR	Fracture of femur	Injury, poisoning and certain other consequences of external causes
0.4493	Diseases of the eye and adnexa	H7_ANOMAPUPFUNC	Anomalies of pupillary function	0.1098	H7_ANOMAPUPFUNC	Anomalies of pupillary function	Diseases of the eye and adnexa
0.1018	Injury, poisoning and certain other consequences of external causes	ST19_OTHER_UNSPE_EFFEC_EXTER_CAUSES	Other and unspecified effects of external causes	0.1098	ST19_OTHER_UNSPE_EFFEC_EXTER_CAUSES	Other and unspecified effects of external causes	Injury, poisoning and certain other consequences of external causes
0.3162	Injury, poisoning and certain other consequences of external causes	ST19_OTHER_UNSPE_INJURI_WRIST_HAND	Other and unspecified injuries of wrist and hand	0.1098	ST19_OTHER_UNSPE_INJURI_WRIST_HAND	Other and unspecified injuries of wrist and hand	Injury, poisoning and certain other consequences of external causes
-0.4885	Congenital malformations, deformations and chromosomal abnormalities	Q17_CLEFT_LIP_CLEFT_PALATE	Cleft lip and cleft palate	0.1102	Q17_CLEFT_LIP_CLEFT_PALATE	Cleft lip and cleft palate	Congenital malformations, deformations and chromosomal abnormalities
0.0716	Diseases of the nervous system	G6_TIA	Transient ischemic attack	0.1106	G6_TIA	Transient ischemic attack	Diseases of the nervous system
0.1076	Diseases of the digestive system	K11_KELAIBD	IBD patients in KELA-register	0.1109	K11_KELAIBD	IBD patients in KELA-register	Diseases of the digestive system
0.189	Diseases of the circulatory system	I9_CARDMYOOTH	Cardiomyopathy, other and unspecified	0.1109	I9_CARDMYOOTH	Cardiomyopathy, other and unspecified	Diseases of the circulatory system
0.3355	Diseases of the musculoskeletal system and connective tissue	M13_TIETZE	Chondrocostal junction syndrome [Tietze]	0.1121	M13_TIETZE	Chondrocostal junction syndrome [Tietze]	Diseases of the musculoskeletal system and connective tissue
0.0778	Diseases of the digestive system	K11_OTHFUNC	Other functional intestinal disroders	0.1129	K11_OTHFUNC	Other functional intestinal disroders	Diseases of the digestive system
0.4528	Other	P16_DISORD_RELATED_GESTATION_LOW_BIRTHWGHTT_NECIFIED	Disorders related to short gestation and low birth weight, not elsewhere classified	0.113	P16_DISORD_RELATED_GESTATION_LOW_BIRTHWGHTT_NECIFIED	Disorders related to short gestation and low birth weight, not elsewhere classified	Other
-0.0843	Diseases of the skin and subcutaneous tissue	L12_PAPULOSQUAMOUS	Papulosquamous disorders	0.1133	L12_PAPULOSQUAMOUS	Papulosquamous disorders	Diseases of the skin and subcutaneous tissue
0.2536	Diseases of the musculoskeletal system and connective tissue	M13_FIBROMYALGIA	Fibromyalgia	0.1133	M13_FIBROMYALGIA	Fibromyalgia	Diseases of the musculoskeletal system and connective tissue
-0.4847	Endocrine, nutritional and metabolic diseases	E4_MALNUTRITION	Malnutrition	0.1136	E4_MALNUTRITION	Malnutrition	Endocrine, nutritional and metabolic diseases
0.034	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_GENERAL_SYMPTOMS_SIGNS	General symptoms and signs	0.1139	R18_GENERAL_SYMPTOMS_SIGNS	General symptoms and signs	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
-0.1757	Diseases of the skin and subcutaneous tissue	L12_OTHERCONTACT	Other contact dermatitis	0.1148	L12_OTHERCONTACT	Other contact dermatitis	Diseases of the skin and subcutaneous tissue
-0.0403	Injury, poisoning and certain other consequences of external causes	ST19_INJURI_KNEE_LOWER_LEG	Injuries to the knee and lower leg	0.1153	ST19_INJURI_KNEE_LOWER_LEG	Injuries to the knee and lower leg	Injury, poisoning and certain other consequences of external causes
-0.1113	Mental and behavioural disorders	F5_SUBSNOALCO	Substance use, excluding alcohol	0.1156	F5_SUBSNOALCO	Substance use, excluding alcohol	Mental and behavioural disorders
0.4439	Endocrine, nutritional and metabolic diseases	E4_DISPUB	Disorders of puberty	0.116	E4_DISPUB	Disorders of puberty	Endocrine, nutritional and metabolic diseases
-0.0628	Psychiatric endpoints	KRA_PSY_SUBSTANCE	Substance abuse	0.1167	KRA_PSY_SUBSTANCE	Substance abuse	Psychiatric endpoints
-0.2045	Neoplasms from hospital discharges	CD2_INSITU_BREAST_EXALLC	Carcinoma in situ of breast (other cancers excluded from controls)	0.1168	CD2_INSITU_BREAST_EXALLC	Carcinoma in situ of breast (other cancers excluded from controls)	Neoplasms from hospital discharges
0.5501	Neoplasms from hospital discharges	CD2_INSITU_SKIN_SCALPNECK	Carcinoma in situ of skin of scalp and neck	0.1174	CD2_INSITU_SKIN_SCALPNECK	Carcinoma in situ of skin of scalp and neck	Neoplasms from hospital discharges
-0.2352	Diseases of the musculoskeletal system and connective tissue	M13_BICIPITALTEND	Bicipital tendinitis	0.1177	M13_BICIPITALTEND	Bicipital tendinitis	Diseases of the musculoskeletal system and connective tissue
0.0524	Factors influencing health status and contact with health services	Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_OTH_COUNSELLI_MEDICAL_ADVICE_NOT_ELSEW_CLASSIFIED	Persons encountering health services for other counselling and medical advice, not elsewhere classified	0.1179	Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_OTH_COUNSELLI_MEDICAL_ADVICE_NOT_ELSEW_CLASSIFIED	Persons encountering health services for other counselling and medical advice, not elsewhere classified	Factors influencing health status and contact with health services
0.2086	Diseases of the digestive system	K11_OTHINFLIV	Other inflammatory liver diseases	0.1185	K11_OTHINFLIV	Other inflammatory liver diseases	Diseases of the digestive system
0.4346	Diseases of the eye and adnexa	H7_PAPILLOEDEMA	Papilloedema, unspecified	0.1198	H7_PAPILLOEDEMA	Papilloedema, unspecified	Diseases of the eye and adnexa
0.2135	Diseases of the ear and mastoid process	H8_EXT_INFNAS	Other infective otitis externa	0.1207	H8_EXT_INFNAS	Other infective otitis externa	Diseases of the ear and mastoid process
0.4777	Diseases of the musculoskeletal system and connective tissue	M13_SPINALOSTEOCHON	Spinal osteochondrosis	0.1221	M13_SPINALOSTEOCHON	Spinal osteochondrosis	Diseases of the musculoskeletal system and connective tissue
-0.1286	Mental and behavioural disorders	F5_EMOPER	Emotionally unstable personality disorder	0.1222	F5_EMOPER	Emotionally unstable personality disorder	Mental and behavioural disorders
0.1093	Diseases of the musculoskeletal system and connective tissue	M13_CERVICALGIA	Cervicalgia	0.1224	M13_CERVICALGIA	Cervicalgia	Diseases of the musculoskeletal system and connective tissue
0.2811	Psychiatric endpoints	KRA_PSY_CHILDEMOT_EXMORE	Emotional disorders starting during childhood or adolecense (more controls excluded)	0.1226	KRA_PSY_CHILDEMOT_EXMORE	Emotional disorders starting during childhood or adolecense (more controls excluded)	Psychiatric endpoints
-0.1186	Injury, poisoning and certain other consequences of external causes	ST19_SUPERF_INJURY_HEAD	Superficial injury of head	0.1226	ST19_SUPERF_INJURY_HEAD	Superficial injury of head	Injury, poisoning and certain other consequences of external causes
-0.1488	Neoplasms from hospital discharges	CD2_BENIGN_LIPO_SKIN_TRUNK_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk (other cancers excluded from controls)	0.1231	CD2_BENIGN_LIPO_SKIN_TRUNK_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk (other cancers excluded from controls)	Neoplasms from hospital discharges
-0.1479	Neoplasms from hospital discharges	CD2_BENIGN_LIPO_SKIN_TRUNK	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	0.1233	CD2_BENIGN_LIPO_SKIN_TRUNK	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	Neoplasms from hospital discharges
-0.2723	Pregnancy, childbirth and the puerperium	O15_LABOUR_UMBILICAL	Labour and delivery complicated by umbilical cord complications	0.1235	O15_LABOUR_UMBILICAL	Labour and delivery complicated by umbilical cord complications	Pregnancy, childbirth and the puerperium
0.3062	Diseases of the skin and subcutaneous tissue	L12_FOODDERMAT	Dermatitis due to ingested food	0.125	L12_FOODDERMAT	Dermatitis due to ingested food	Diseases of the skin and subcutaneous tissue
0.3782	Factors influencing health status and contact with health services	Z21_PROBL_RELATED_NEGAT_LIFE_EVENTS_CHILDH	Problems related to negative life events in childhood	0.125	Z21_PROBL_RELATED_NEGAT_LIFE_EVENTS_CHILDH	Problems related to negative life events in childhood	Factors influencing health status and contact with health services
-0.4773	Injury, poisoning and certain other consequences of external causes	ST19_BURN_CORROSION_ANKLE_FOOT	Burn and corrosion of ankle and foot	0.1252	ST19_BURN_CORROSION_ANKLE_FOOT	Burn and corrosion of ankle and foot	Injury, poisoning and certain other consequences of external causes
-0.452	Injury, poisoning and certain other consequences of external causes	ST19_TRAUMAT_ISCHA_MUSCLE	Traumatic ischaemia of muscle	0.1253	ST19_TRAUMAT_ISCHA_MUSCLE	Traumatic ischaemia of muscle	Injury, poisoning and certain other consequences of external causes
0.2732	Rheuma endpoints	SLE_FG	SLE (Finngen)	0.1256	SLE_FG	SLE (Finngen)	Rheuma endpoints
0.0454	Diseases of the ear and mastoid process	H8_OTHEREAR	Other disorders of ear	0.1257	H8_OTHEREAR	Other disorders of ear	Diseases of the ear and mastoid process
0.4272	Diseases of the nervous system	G6_HCCOMM	Communicating hydrocephalus	0.1258	G6_HCCOMM	Communicating hydrocephalus	Diseases of the nervous system
0.3745	Neoplasms from hospital discharges	CD2_BENIGN_MALE_GEN	Benign neoplasm of male genital organs	0.1259	CD2_BENIGN_MALE_GEN	Benign neoplasm of male genital organs	Neoplasms from hospital discharges
-0.4075	Other	VWXY20_TRANSPO_ACCIDENTS	Transport accidents	0.127	VWXY20_TRANSPO_ACCIDENTS	Transport accidents	Other
0.0581	Factors influencing health status and contact with health services	Z21_EXAM_OBSER_OTH_REASO	Examination and observation for other reasons	0.127	Z21_EXAM_OBSER_OTH_REASO	Examination and observation for other reasons	Factors influencing health status and contact with health services
-0.2076	Neoplasms from hospital discharges	CD2_INSITU_BREAST_INTRADUCTAL	Carcinoma in situ of breast, intraductal	0.1276	CD2_INSITU_BREAST_INTRADUCTAL	Carcinoma in situ of breast, intraductal	Neoplasms from hospital discharges
0.0887	Diseases of the genitourinary system	N14_POSTMENBLEED	Postmenopausal bleeding	0.1277	N14_POSTMENBLEED	Postmenopausal bleeding	Diseases of the genitourinary system
-0.1767	Diseases of the digestive system	K11_ABSCANAL	Abscess of anal and rectal regions	0.1281	K11_ABSCANAL	Abscess of anal and rectal regions	Diseases of the digestive system
0.2745	Diseases of the eye and adnexa	MACULAR_HOLE	Macular hole	0.1281	MACULAR_HOLE	Macular hole	Diseases of the eye and adnexa
-0.0744	Diseases of the circulatory system	I9_DVTANDPULM	DVT of lower extremities and pulmonary embolism	0.1287	I9_DVTANDPULM	DVT of lower extremities and pulmonary embolism	Diseases of the circulatory system
-0.1441	Injury, poisoning and certain other consequences of external causes	ST19_TOXIC_EFFEC_SUBST_CHIEF_NONME_SOURCE	Toxic effects of substances chiefly nonmedicinal as to source	0.1288	ST19_TOXIC_EFFEC_SUBST_CHIEF_NONME_SOURCE	Toxic effects of substances chiefly nonmedicinal as to source	Injury, poisoning and certain other consequences of external causes
-0.108	Psychiatric endpoints	KRA_PSY_SCHIZODEL_EXMORE	Schizophrenia or delusion (more controls excluded)	0.129	KRA_PSY_SCHIZODEL_EXMORE	Schizophrenia or delusion (more controls excluded)	Psychiatric endpoints
0.2282	Diseases of the eye and adnexa	H7_OPTNEUROTH	Other disorders of optic [2nd] nerve and visual pathways	0.1291	H7_OPTNEUROTH	Other disorders of optic [2nd] nerve and visual pathways	Diseases of the eye and adnexa
0.1728	Endocrine, nutritional and metabolic diseases	E4_HYPOKALAEMIA	Hypokalaemia	0.1292	E4_HYPOKALAEMIA	Hypokalaemia	Endocrine, nutritional and metabolic diseases
-0.091	Pregnancy, childbirth and the puerperium	O15_DELIV_CAESAR	Single delivery by caesarean section	0.1295	O15_DELIV_CAESAR	Single delivery by caesarean section	Pregnancy, childbirth and the puerperium
0.1479	Diseases of the circulatory system	I9_HYPOTE	Hypotension	0.1298	I9_HYPOTE	Hypotension	Diseases of the circulatory system
0.0269	Interstitial lung disease endpoints	ILD_DIFF_DG	ILD differential diagnosis	0.13	ILD_DIFF_DG	ILD differential diagnosis	Interstitial lung disease endpoints
-0.0504	Diseases of the musculoskeletal system and connective tissue	M13_SHOULDER	Shoulder lesions	0.1303	M13_SHOULDER	Shoulder lesions	Diseases of the musculoskeletal system and connective tissue
0.145	Diseases of the digestive system	K11_COELIAC	Coeliac disease	0.1304	K11_COELIAC	Coeliac disease	Diseases of the digestive system
-0.4699	Diseases of the eye and adnexa	MACULAR_CYST	Macular cyst	0.1305	MACULAR_CYST	Macular cyst	Diseases of the eye and adnexa
0.1216	Diseases of the musculoskeletal system and connective tissue	M13_CHRONDROPATHIES	Chrondropathies	0.1309	M13_CHRONDROPATHIES	Chrondropathies	Diseases of the musculoskeletal system and connective tissue
0.4942	Diseases of the nervous system	G6_POSTZOST	Postzoster neuralgia	0.1317	G6_POSTZOST	Postzoster neuralgia	Diseases of the nervous system
-0.0967	Injury, poisoning and certain other consequences of external causes	ST19_POISO_MEDICI	Poisoning by medicine	0.1322	ST19_POISO_MEDICI	Poisoning by medicine	Injury, poisoning and certain other consequences of external causes
-0.4249	Diseases of the nervous system	G6_CAUSALGIA	Causalgia	0.1324	G6_CAUSALGIA	Causalgia	Diseases of the nervous system
-0.1919	Diseases of the eye and adnexa	H7_ENTROPION	Entropion and trichiasis of eyelid	0.1326	H7_ENTROPION	Entropion and trichiasis of eyelid	Diseases of the eye and adnexa
-0.2591	Diseases of the genitourinary system	N14_IMPOTENCE	Impotence	0.1327	N14_IMPOTENCE	Impotence	Diseases of the genitourinary system
0.0353	Diseases of the respiratory system	J10_UPPERINFEC	Acute upper respiratory infections	0.1329	J10_UPPERINFEC	Acute upper respiratory infections	Diseases of the respiratory system
0.2123	Injury, poisoning and certain other consequences of external causes	ST19_DISLO_SPRAIN_STRAIN_JOINTS_LIGAM_ELBOW	Dislocation, sprain and strain of joints and ligaments of elbow	0.1331	ST19_DISLO_SPRAIN_STRAIN_JOINTS_LIGAM_ELBOW	Dislocation, sprain and strain of joints and ligaments of elbow	Injury, poisoning and certain other consequences of external causes
0.2677	Diseases of the musculoskeletal system and connective tissue	M13_SLE	Systemic lupus erythematosus	0.1335	M13_SLE	Systemic lupus erythematosus	Diseases of the musculoskeletal system and connective tissue
0.1047	Diseases of the musculoskeletal system and connective tissue	M13_OTHERBONE	Otherdisorders of bone	0.1339	M13_OTHERBONE	Otherdisorders of bone	Diseases of the musculoskeletal system and connective tissue
-0.2661	Mental and behavioural disorders	F5_MILDRET	Mild mental retardation	0.1356	F5_MILDRET	Mild mental retardation	Mental and behavioural disorders
0.3201	Factors influencing health status and contact with health services	Z21_OCCUPAT_EXPOS_RISK_	Occupational exposure to risk-factors	0.1356	Z21_OCCUPAT_EXPOS_RISK_	Occupational exposure to risk-factors	Factors influencing health status and contact with health services
0.3139	Other	ENCEPHALITIS	Encephalitis	0.1358	ENCEPHALITIS	Encephalitis	Other
0.521	Neoplasms from hospital discharges	CD2_INSITU_SKIN_SCALPNECK_EXALLC	Carcinoma in situ of skin of scalp and neck (other cancers excluded from controls)	0.1358	CD2_INSITU_SKIN_SCALPNECK_EXALLC	Carcinoma in situ of skin of scalp and neck (other cancers excluded from controls)	Neoplasms from hospital discharges
0.0324	Diseases of the respiratory system	J10_UPPERDIS	Other diseases of upper respiratory tract	0.1361	J10_UPPERDIS	Other diseases of upper respiratory tract	Diseases of the respiratory system
-0.2066	Mental and behavioural disorders	F5_VASCDEM	Vascular dementia	0.1363	F5_VASCDEM	Vascular dementia	Mental and behavioural disorders
0.1022	Diseases of the skin and subcutaneous tissue	L12_ABSCESS_CUT	Cutaneous abscess, furuncle and carbuncle	0.1366	L12_ABSCESS_CUT	Cutaneous abscess, furuncle and carbuncle	Diseases of the skin and subcutaneous tissue
0.1533	Diseases of the eye and adnexa	H7_MYOPIA	Myopia	0.1371	H7_MYOPIA	Myopia	Diseases of the eye and adnexa
0.1993	Gastrointestinal endpoints	CHRONOTH	Other Chron's disease	0.1374	CHRONOTH	Other Chron's disease	Gastrointestinal endpoints
0.6445	Psychiatric endpoints	KRA_PSY_CHILDSOC_EXMORE	Social disorders starting during childhood or adolecense (more controls excluded)	0.1382	KRA_PSY_CHILDSOC_EXMORE	Social disorders starting during childhood or adolecense (more controls excluded)	Psychiatric endpoints
0.187	Diseases of the musculoskeletal system and connective tissue	M13_PYOGARTH	Pyogenic arthritis	0.1385	M13_PYOGARTH	Pyogenic arthritis	Diseases of the musculoskeletal system and connective tissue
0.1166	Interstitial lung disease endpoints	CPAP	Continuous positive airway pressure	0.1393	CPAP	Continuous positive airway pressure	Interstitial lung disease endpoints
0.301	Endocrine, nutritional and metabolic diseases	E4_OBESITYXTRMALV	Extreme obesity with alveolar hypoventilation	0.1396	E4_OBESITYXTRMALV	Extreme obesity with alveolar hypoventilation	Endocrine, nutritional and metabolic diseases
-0.1794	Injury, poisoning and certain other consequences of external causes	ST19_OPEN_WOUND_FOREA	Open wound of forearm	0.1411	ST19_OPEN_WOUND_FOREA	Open wound of forearm	Injury, poisoning and certain other consequences of external causes
0.3212	Diseases of the skin and subcutaneous tissue	L12_EPIDERMTHICKNAS	Other and unspecified epidermal thickening	0.1412	L12_EPIDERMTHICKNAS	Other and unspecified epidermal thickening	Diseases of the skin and subcutaneous tissue
-0.2596	Diseases of the genitourinary system	N14_BARTHOOTHNAS	Other and unspecified disease of Bartholin gland	0.1415	N14_BARTHOOTHNAS	Other and unspecified disease of Bartholin gland	Diseases of the genitourinary system
0.0468	Diseases of the digestive system	K11_APPENDIX	Diseases of appendix	0.1421	K11_APPENDIX	Diseases of appendix	Diseases of the digestive system
-0.2017	Neoplasms from hospital discharges	CD2_INSITU_BREAST_INTRADUCTAL_EXALLC	Carcinoma in situ of breast, intraductal (other cancers excluded from controls)	0.1421	CD2_INSITU_BREAST_INTRADUCTAL_EXALLC	Carcinoma in situ of breast, intraductal (other cancers excluded from controls)	Neoplasms from hospital discharges
-0.2607	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	D3_COAGDEFNAS	Other and unspecified coagulation defects	0.1423	D3_COAGDEFNAS	Other and unspecified coagulation defects	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
0.2474	Psychiatric endpoints	KRA_PSY_CHILDOTH_EXMORE	Other disorders starting during childhood or adolecense (more controls excluded)	0.1428	KRA_PSY_CHILDOTH_EXMORE	Other disorders starting during childhood or adolecense (more controls excluded)	Psychiatric endpoints
-0.0757	Diseases of the eye and adnexa	H7_EYELIDDIS	Other disorders of eyelid	0.143	H7_EYELIDDIS	Other disorders of eyelid	Diseases of the eye and adnexa
-0.1577	Diseases of the skin and subcutaneous tissue	L12_PSORI_ARTHRO	Arthropathic psoriasis	0.1434	L12_PSORI_ARTHRO	Arthropathic psoriasis	Diseases of the skin and subcutaneous tissue
0.3562	Neoplasms from hospital discharges	CD2_BENIGN_MALE_GEN_EXALLC	Benign neoplasm of male genital organs (other cancers excluded from controls)	0.1434	CD2_BENIGN_MALE_GEN_EXALLC	Benign neoplasm of male genital organs (other cancers excluded from controls)	Neoplasms from hospital discharges
0.3103	Injury, poisoning and certain other consequences of external causes	ST19_BURN_CORROSION_CONFIN_EYE_ADNEXA	Burn and corrosion confined to eye and adnexa	0.1437	ST19_BURN_CORROSION_CONFIN_EYE_ADNEXA	Burn and corrosion confined to eye and adnexa	Injury, poisoning and certain other consequences of external causes
-0.1504	Mental and behavioural disorders	F5_Dementia_U	Undefined dementia	0.1441	F5_Dementia_U	Undefined dementia	Mental and behavioural disorders
0.0643	Diseases of the circulatory system	FG_CEREBVASC	Cerebrovascular diseases (FINNGEN)	0.1446	FG_CEREBVASC	Cerebrovascular diseases (FINNGEN)	Diseases of the circulatory system
-0.4101	Neoplasms from hospital discharges	CD2_BENIGN_VULVA	Benign neoplasm: Vagina	0.1448	CD2_BENIGN_VULVA	Benign neoplasm: Vagina	Neoplasms from hospital discharges
-0.0302	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ABDOMI_PELVIC_PAIN	Abdominal and pelvic pain	0.1451	R18_ABDOMI_PELVIC_PAIN	Abdominal and pelvic pain	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
0.058	Diseases of the respiratory system	J10_SINUSITIS	Acute sinusitis	0.1455	J10_SINUSITIS	Acute sinusitis	Diseases of the respiratory system
0.1682	Diseases of the eye and adnexa	H7_OPTNERVE	Disorders of optic nerve and visual pathways	0.1463	H7_OPTNERVE	Disorders of optic nerve and visual pathways	Diseases of the eye and adnexa
-0.0618	Mental and behavioural disorders	F5_ALCOHOL	Mental and behavioural disorders due to alcohol, excluding acute intoxication	0.1472	F5_ALCOHOL	Mental and behavioural disorders due to alcohol, excluding acute intoxication	Mental and behavioural disorders
0.0989	Diseases of the nervous system	G6_MIGRAINE_WITH_AURA	Migraine with aura	0.1473	G6_MIGRAINE_WITH_AURA	Migraine with aura	Diseases of the nervous system
-0.2031	Diseases of the circulatory system	I9_VASCDEM	Vascular dementia	0.1478	I9_VASCDEM	Vascular dementia	Diseases of the circulatory system
-0.236	Mental and behavioural disorders	F5_MANIA	Manic episode	0.148	F5_MANIA	Manic episode	Mental and behavioural disorders
-0.0821	Diseases of the circulatory system	I9_UAP	Unstable angina pectoris	0.1483	I9_UAP	Unstable angina pectoris	Diseases of the circulatory system
0.1918	Gastrointestinal endpoints	CHRONNAS	Chron's disease NAS	0.1488	CHRONNAS	Chron's disease NAS	Gastrointestinal endpoints
0.0391	Diseases of the circulatory system	I9_HYPTENSESS	Hypertension, essential	0.1488	I9_HYPTENSESS	Hypertension, essential	Diseases of the circulatory system
0.1459	Diseases of the circulatory system	FG_OTH	Other CVD (FINNGEN)	0.1489	FG_OTH	Other CVD (FINNGEN)	Diseases of the circulatory system
