beta	category	phenocode	phenostring	pval	phewas_code	phewas_string	category_name	odds_ratio
-0.1723	Diseases of the genitourinary system	N14_INFLAMMBREAST	Inflammatory disorders of breast	0.2518	N14_INFLAMMBREAST	Inflammatory disorders of breast	Diseases of the genitourinary system	0.841726617301824
-0.1856	Factors influencing health status and contact with health services	Z21_FOLLOW__CARE_INVOLVI_PLASTIC_SURGE	Follow-up care involving plastic surgery	0.2519	Z21_FOLLOW__CARE_INVOLVI_PLASTIC_SURGE	Follow-up care involving plastic surgery	Factors influencing health status and contact with health services	0.83060577085067
0.0894	Diseases of the circulatory system	I9_CARDMYO	Cardiomyopathy	0.252	I9_CARDMYO	Cardiomyopathy	Diseases of the circulatory system	1.09351797604697
0.2179	Neoplasms from hospital discharges	CD2_BENIGN_RECTOSIGMOID_JUNC	Benign neoplasm: Rectosigmoid junction	0.2525	CD2_BENIGN_RECTOSIGMOID_JUNC	Benign neoplasm: Rectosigmoid junction	Neoplasms from hospital discharges	1.24346271513003
0.0378	Diseases of the digestive system	K11_APPENDACUT	Acute appendicitis	0.2529	K11_APPENDACUT	Acute appendicitis	Diseases of the digestive system	1.03852350740516
0.2289	Injury, poisoning and certain other consequences of external causes	ST19_BURNS_CORROSIO_CONFIN_EYE_INTERNAL_ORGANS	Burns and corrosions confined to eye and internal organs	0.2529	ST19_BURNS_CORROSIO_CONFIN_EYE_INTERNAL_ORGANS	Burns and corrosions confined to eye and internal organs	Injury, poisoning and certain other consequences of external causes	1.25721631109244
0.2999	Endocrine, nutritional and metabolic diseases	E4_AMYLOIDOSIS	Amyloidosis	0.2531	E4_AMYLOIDOSIS	Amyloidosis	Endocrine, nutritional and metabolic diseases	1.34972382844431
0.0364	Rheuma endpoints	KNEE_ARTHROSIS	Gonarthrosis [arthrosis of knee](FG)	0.2541	KNEE_ARTHROSIS	Gonarthrosis [arthrosis of knee](FG)	Rheuma endpoints	1.03707059177305
-0.1725	Psychiatric endpoints	KRA_PSY_MENTALRET	Mental retardation	0.2543	KRA_PSY_MENTALRET	Mental retardation	Psychiatric endpoints	0.841558288811773
-0.1011	Diseases of the nervous system	G6_XTRAPYROTH	Other extrapyramidal and movement disorders+ in other diseases	0.2549	G6_XTRAPYROTH	Other extrapyramidal and movement disorders+ in other diseases	Diseases of the nervous system	0.90384264410209
-0.2852	Endocrine, nutritional and metabolic diseases	E4_ENDODISNAS	Endocrine disorders, other/unspecified	0.255	E4_ENDODISNAS	Endocrine disorders, other/unspecified	Endocrine, nutritional and metabolic diseases	0.751863866507801
0.289	Mental and behavioural disorders	F5_PERSBEHORG	Personality and behavioural disorders due to brain disease, damage and dysfunction	0.2555	F5_PERSBEHORG	Personality and behavioural disorders due to brain disease, damage and dysfunction	Mental and behavioural disorders	1.33509172852851
0.2258	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ILL_D_UNKNO_CAUSES_MORTA	Ill-defined and unknown causes of mortality	0.2558	R18_ILL_D_UNKNO_CAUSES_MORTA	Ill-defined and unknown causes of mortality	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.25332497521497
-0.05	Psychiatric endpoints	KRA_PSY_SUBSTANCE_EXMORE	Substance abuse (more controls excluded)	0.2561	KRA_PSY_SUBSTANCE_EXMORE	Substance abuse (more controls excluded)	Psychiatric endpoints	0.951229424500714
-0.0715	Pregnancy, childbirth and the puerperium	O15_OBSTET_NAS	Other obstetric conditions, not elsewhere classified	0.2561	O15_OBSTET_NAS	Other obstetric conditions, not elsewhere classified	Pregnancy, childbirth and the puerperium	0.930996277594862
0.334	Congenital malformations, deformations and chromosomal abnormalities	Q17_CONGEN_MALFO_RESPI_SYSTEM	Congenital malformations of the respiratory system	0.2569	Q17_CONGEN_MALFO_RESPI_SYSTEM	Congenital malformations of the respiratory system	Congenital malformations, deformations and chromosomal abnormalities	1.39654314357451
-0.0224	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_SYMPTOMS_SIGNS_INVOLVI_DIGES_SYSTEM_ABDOMEN	Symptoms and signs involving the digestive system and abdomen	0.2571	R18_SYMPTOMS_SIGNS_INVOLVI_DIGES_SYSTEM_ABDOMEN	Symptoms and signs involving the digestive system and abdomen	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	0.977849017205975
0.2498	Factors influencing health status and contact with health services	Z21_TOBAC_USE	Tobacco use	0.2575	Z21_TOBAC_USE	Tobacco use	Factors influencing health status and contact with health services	1.2837686372832
0.0544	Diseases of the circulatory system	I9_HYPTENSPREG	Hypertension complicating pregnancy, childbirth, and the puerperium	0.2577	I9_HYPTENSPREG	Hypertension complicating pregnancy, childbirth, and the puerperium	Diseases of the circulatory system	1.05590688044597
0.0544	Pregnancy, childbirth and the puerperium	O15_HYPTENSPREG	Pregnancy hypertension	0.2577	O15_HYPTENSPREG	Pregnancy hypertension	Pregnancy, childbirth and the puerperium	1.05590688044597
0.2232	Endocrine, nutritional and metabolic diseases	E4_THYROIDITSUBAC	Subacute thyroiditis	0.2578	E4_THYROIDITSUBAC	Subacute thyroiditis	Endocrine, nutritional and metabolic diseases	1.25007056284881
0.0363	Diseases of the circulatory system	I9_HEARTFAIL_ALLCAUSE	All-cause Heart Failure	0.2578	I9_HEARTFAIL_ALLCAUSE	All-cause Heart Failure	Diseases of the circulatory system	1.03696688989905
-0.2352	Diseases of the musculoskeletal system and connective tissue	M13_TEMPARTERIT	Temporal arteritis	0.2578	M13_TEMPARTERIT	Temporal arteritis	Diseases of the musculoskeletal system and connective tissue	0.790412751269173
0.2049	Diseases of the genitourinary system	N14_EROSECTROPUT	Erosion and ectropion of cervix uteri	0.2579	N14_EROSECTROPUT	Erosion and ectropion of cervix uteri	Diseases of the genitourinary system	1.2274023185941
-0.2466	Endocrine, nutritional and metabolic diseases	E4_DM2KETO	Type 2 diabetes with ketoacidosis	0.2586	E4_DM2KETO	Type 2 diabetes with ketoacidosis	Endocrine, nutritional and metabolic diseases	0.781453212308378
-0.3504	Diseases of the musculoskeletal system and connective tissue	M13_VARUS	Varus deformity, not elsewhere classified	0.2592	M13_VARUS	Varus deformity, not elsewhere classified	Diseases of the musculoskeletal system and connective tissue	0.704406270850357
0.0839	Diabetes endpoints	DM_NEPHROPATHY	Diabetic nephropathy	0.2599	DM_NEPHROPATHY	Diabetic nephropathy	Diabetes endpoints	1.08752013635741
0.131	Diseases of the genitourinary system	N14_ORHCEPINDIDYMITIS	Orchitis and epididymitis	0.2602	N14_ORHCEPINDIDYMITIS	Orchitis and epididymitis	Diseases of the genitourinary system	1.13996778131199
-0.3079	Diseases of the digestive system	K11_DISOESINOTH	Disorders of oesophagus in diseases classified elsewhere	0.2609	K11_DISOESINOTH	Disorders of oesophagus in diseases classified elsewhere	Diseases of the digestive system	0.734988813215569
-0.0684	Mental and behavioural disorders	F5_SCHIZO	Schizophrenia, schizotypal and delusional disorders	0.2609	F5_SCHIZO	Schizophrenia, schizotypal and delusional disorders	Mental and behavioural disorders	0.933886844118656
-0.032	Injury, poisoning and certain other consequences of external causes	ST19_INJURI_HEAD	Injuries to the head	0.261	ST19_INJURI_HEAD	Injuries to the head	Injury, poisoning and certain other consequences of external causes	0.968506582079198
-0.0515	Diseases of the circulatory system	I9_VTE	Venous thromboembolism	0.2616	I9_VTE	Venous thromboembolism	Diseases of the circulatory system	0.9498036499622
-0.2331	Rheuma endpoints	GIANT_CELL_TEMP_ARTERITIS	Giant cell arteritis with polymyalgia rheumatica	0.2621	GIANT_CELL_TEMP_ARTERITIS	Giant cell arteritis with polymyalgia rheumatica	Rheuma endpoints	0.792074362127598
0.1652	Rheuma endpoints	GOUT_IDIO	Idiopathic gout	0.2624	GOUT_IDIO	Idiopathic gout	Rheuma endpoints	1.17962902092457
0.0585	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ABNORMAL_FINDI_EXAMI_BLOOD_WO_DIAGNOSIS	Abnormal findings on examination of blood, without diagnosis	0.2634	R18_ABNORMAL_FINDI_EXAMI_BLOOD_WO_DIAGNOSIS	Abnormal findings on examination of blood, without diagnosis	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.0602449856946
0.2004	Diseases of the musculoskeletal system and connective tissue	M13_JUVOSTEOCHONRHIP	Juvenile osteochondrosis	0.2639	M13_JUVOSTEOCHONRHIP	Juvenile osteochondrosis	Diseases of the musculoskeletal system and connective tissue	1.22189141698868
0.1466	Neoplasms from hospital discharges	CD2_BENIGN_TRANSVERSE_COLON	Benign neoplasm: Transverse colon	0.264	CD2_BENIGN_TRANSVERSE_COLON	Benign neoplasm: Transverse colon	Neoplasms from hospital discharges	1.15789071410061
-0.2936	Endocrine, nutritional and metabolic diseases	E4_THYROIDITAUTOIM	Autoimmune thyroiditis	0.2645	E4_THYROIDITAUTOIM	Autoimmune thyroiditis	Endocrine, nutritional and metabolic diseases	0.745574661669936
0.1	Mental and behavioural disorders	F5_PHOBANX	Phobic anxiety disorders	0.2658	F5_PHOBANX	Phobic anxiety disorders	Mental and behavioural disorders	1.10517091807565
-0.0286	Pregnancy, childbirth and the puerperium	O15_DELIVERY	Delivery	0.2661	O15_DELIVERY	Delivery	Pregnancy, childbirth and the puerperium	0.971805108776071
0.2269	Injury, poisoning and certain other consequences of external causes	ST19_OPEN_WOUND_HIP_THIGH	Open wound of hip and thigh	0.2661	ST19_OPEN_WOUND_HIP_THIGH	Open wound of hip and thigh	Injury, poisoning and certain other consequences of external causes	1.25470439122743
0.1806	Neoplasms from cancer register	C3_STOMACH	Malignant neoplasm of stomach	0.267	C3_STOMACH	Malignant neoplasm of stomach	Neoplasms from cancer register	1.19793590908191
-0.1156	Diseases of the musculoskeletal system and connective tissue	M13_ENTESOPATHYNAS	Other/unspecified enthesopathies, not elsewhere classified	0.2674	M13_ENTESOPATHYNAS	Other/unspecified enthesopathies, not elsewhere classified	Diseases of the musculoskeletal system and connective tissue	0.890831484634309
0.1225	Diseases of the digestive system	K11_APPENDOTH	Other appendicitis	0.2676	K11_APPENDOTH	Other appendicitis	Diseases of the digestive system	1.13031912007401
-0.0604	Other	COPD_HOSPITAL	COPD, hospital admissions	0.2679	COPD_HOSPITAL	COPD, hospital admissions	Other	0.941387903101933
-0.1671	Diseases of the skin and subcutaneous tissue	L12_PSORI_NAS	Other and unspecified psoriasis	0.2684	L12_PSORI_NAS	Other and unspecified psoriasis	Diseases of the skin and subcutaneous tissue	0.846114995606912
-0.0373	Diseases of the digestive system	K11_CHOLELITH	Cholelithiasis	0.2689	K11_CHOLELITH	Cholelithiasis	Diseases of the digestive system	0.963387075869539
0.2135	Diseases of the musculoskeletal system and connective tissue	M13_SPININSTAB	Spinal instabilities	0.2691	M13_SPININSTAB	Spinal instabilities	Diseases of the musculoskeletal system and connective tissue	1.23800349826809
-0.1626	Diseases of the digestive system	TONGUEABNORMALITY	Tongue abnormality	0.2695	TONGUEABNORMALITY	Tongue abnormality	Diseases of the digestive system	0.849931092866314
-0.0653	Diseases of the nervous system	G6_XTRAPYR	Extrapyramidal and movement disorders	0.2705	G6_XTRAPYR	Extrapyramidal and movement disorders	Diseases of the nervous system	0.93678638530221
0.1266	Factors influencing health status and contact with health services	Z21_PROBL_RELATED_LIFESTYLE	Problems related to lifestyle	0.2705	Z21_PROBL_RELATED_LIFESTYLE	Problems related to lifestyle	Factors influencing health status and contact with health services	1.13496294179563
0.1453	Neoplasms from hospital discharges	CD2_BENIGN_TRANSVERSE_COLON_EXALLC	Benign neoplasm: Transverse colon (other cancers excluded from controls)	0.2714	CD2_BENIGN_TRANSVERSE_COLON_EXALLC	Benign neoplasm: Transverse colon (other cancers excluded from controls)	Neoplasms from hospital discharges	1.15638643416609
-0.2379	Other	ANOSMIA	Anosmia	0.2718	ANOSMIA	Anosmia	Other	0.788281515304025
0.0757	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_PAIN_NOT_ELSEW_CLASSIFIED	Pain, not elsewhere classified	0.2724	R18_PAIN_NOT_ELSEW_CLASSIFIED	Pain, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.0786389339335
0.2089	Neoplasms from hospital discharges	CD2_BENIGN_RECTOSIGMOID_JUNC_EXALLC	Benign neoplasm: Rectosigmoid junction (other cancers excluded from controls)	0.2725	CD2_BENIGN_RECTOSIGMOID_JUNC_EXALLC	Benign neoplasm: Rectosigmoid junction (other cancers excluded from controls)	Neoplasms from hospital discharges	1.23232176019242
0.166	Rheuma endpoints	JUVEN_ARTHR	Juvenile arthritis (FINNGEN)	0.2731	JUVEN_ARTHR	Juvenile arthritis (FINNGEN)	Rheuma endpoints	1.18057310172328
-0.1373	Diseases of the skin and subcutaneous tissue	L12_ACNE_VULGARIS	Acne vulgaris	0.2731	L12_ACNE_VULGARIS	Acne vulgaris	Diseases of the skin and subcutaneous tissue	0.871708674299006
0.2639	Diseases of the nervous system	G6_CP	Cerebral palsy	0.2733	G6_CP	Cerebral palsy	Diseases of the nervous system	1.30199798999169
0.0445	Diseases of the circulatory system	I9_STR	Stroke, excluding SAH	0.2733	I9_STR	Stroke, excluding SAH	Diseases of the circulatory system	1.04550497671046
0.119	Diseases of the ear and mastoid process	H8_HL_IDIOP	Sudden idiopathic hearing loss	0.2733	H8_HL_IDIOP	Sudden idiopathic hearing loss	Diseases of the ear and mastoid process	1.12636991828835
0.1336	Neoplasms from hospital discharges	CD2_BENIGN_HEMANGIOMA_EXALLC	Haemangioma, any site (other cancers excluded from controls)	0.2736	CD2_BENIGN_HEMANGIOMA_EXALLC	Haemangioma, any site (other cancers excluded from controls)	Neoplasms from hospital discharges	1.14293555397602
-0.261	Diseases of the nervous system	G6_LSROOT	Lumbosacral root disorders, not elsewhere classified	0.2743	G6_LSROOT	Lumbosacral root disorders, not elsewhere classified	Diseases of the nervous system	0.770280919615079
0.3626	Psychiatric endpoints	KRA_PSY_PUERPER_EXMORE	Mental and behabioural disorders of puerperum, not classified elsewhere (more controls excluded)	0.2743	KRA_PSY_PUERPER_EXMORE	Mental and behabioural disorders of puerperum, not classified elsewhere (more controls excluded)	Psychiatric endpoints	1.43706091989305
0.2014	Pregnancy, childbirth and the puerperium	O15_POLYHYDR	Polyhydramnios	0.2745	O15_POLYHYDR	Polyhydramnios	Pregnancy, childbirth and the puerperium	1.22311391955508
0.1526	Diseases of the digestive system	K11_PERITONITIS	Acute peritonitis	0.2746	K11_PERITONITIS	Acute peritonitis	Diseases of the digestive system	1.16485894216473
0.2987	Diseases of the skin and subcutaneous tissue	L12_PEMPHIGOID_BULL	Bullous pemphigoid	0.2754	L12_PEMPHIGOID_BULL	Bullous pemphigoid	Diseases of the skin and subcutaneous tissue	1.34810513126273
-0.117	Neoplasms from hospital discharges	CD2_BENIGN_LIPO_NOS_EXALLC	Benign lipomatous neoplasm of other sites/unspecified (other cancers excluded from controls)	0.2754	CD2_BENIGN_LIPO_NOS_EXALLC	Benign lipomatous neoplasm of other sites/unspecified (other cancers excluded from controls)	Neoplasms from hospital discharges	0.889585193163411
-0.0541	Diseases of the digestive system	ABDOM_HERNIA	Hernia of abodminal wall	0.2757	ABDOM_HERNIA	Hernia of abodminal wall	Diseases of the digestive system	0.947337368028151
0.0382	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_SYMPTOMS_SIGNS_INVOLVI_URINARY_SYSTEM	Symptoms and signs involving the urinary system	0.2758	R18_SYMPTOMS_SIGNS_INVOLVI_URINARY_SYSTEM	Symptoms and signs involving the urinary system	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.03893899990108
-0.0606	Injury, poisoning and certain other consequences of external causes	ST19_INJURY_MUSCLE_TENDON_SHOUL_UPPER_ARM_LEVEL	Injury of muscle and tendon at shoulder and upper arm level	0.2775	ST19_INJURY_MUSCLE_TENDON_SHOUL_UPPER_ARM_LEVEL	Injury of muscle and tendon at shoulder and upper arm level	Injury, poisoning and certain other consequences of external causes	0.941199644347816
0.0683	Diseases of the circulatory system	I9_SEQULAE	Sequelae of cerebrovascular disease	0.2777	I9_SEQULAE	Sequelae of cerebrovascular disease	Diseases of the circulatory system	1.07068646624257
0.0361	Other	FG_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)	0.2794	FG_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)	Other	1.03675951725902
0.1601	Factors influencing health status and contact with health services	Z21_OTHER_POSTS_STATES	Other postsurgical states	0.2795	Z21_OTHER_POSTS_STATES	Other postsurgical states	Factors influencing health status and contact with health services	1.17362822794666
-0.1351	Endocrine, nutritional and metabolic diseases	E4_DMNASNOCOMP	Unspecified diabetes without complications	0.2797	E4_DMNASNOCOMP	Unspecified diabetes without complications	Endocrine, nutritional and metabolic diseases	0.8736285444653
-0.119	Mental and behavioural disorders	F5_Dementia_U_EXMORE	Undefined dementia (more controls excluded)	0.2801	F5_Dementia_U_EXMORE	Undefined dementia (more controls excluded)	Mental and behavioural disorders	0.88780780076195
-0.2426	Diseases of the ear and mastoid process	H8_EXTDISINOTH	Disorder of external ear, unspecified	0.2802	H8_EXTDISINOTH	Disorder of external ear, unspecified	Diseases of the ear and mastoid process	0.784585285127153
-0.0846	Mental and behavioural disorders	F5_PSYCHOTH	Other and unspecified nonorganic psychotic disorders	0.2808	F5_PSYCHOTH	Other and unspecified nonorganic psychotic disorders	Mental and behavioural disorders	0.918879762805999
-0.1284	Diseases of the skin and subcutaneous tissue	L12_URTICA_ALLERG	Allergic urticaria	0.2822	L12_URTICA_ALLERG	Allergic urticaria	Diseases of the skin and subcutaneous tissue	0.879501508171872
-0.2749	Injury, poisoning and certain other consequences of external causes	ST19_BURN_CORROSION_HIP_LOWER_LIMB_ANKLE_FOOT	Burn and corrosion of hip and lower limb, except ankle and foot	0.2834	ST19_BURN_CORROSION_HIP_LOWER_LIMB_ANKLE_FOOT	Burn and corrosion of hip and lower limb, except ankle and foot	Injury, poisoning and certain other consequences of external causes	0.759648084235278
0.1695	Diseases of the nervous system	G6_HYDROCEPH	Hydrocephalus	0.2836	G6_HYDROCEPH	Hydrocephalus	Diseases of the nervous system	1.18471234703312
-0.2464	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	D3_COAGDEF	Chronic Coagulation defects	0.2866	D3_COAGDEF	Chronic Coagulation defects	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	0.781609518580945
0.0288	Factors influencing health status and contact with health services	Z21_MEDICAL_OBSER_EVALU_SUSPECTED_DISEA_CONDI	Medical observation and evaluation for suspected diseases and conditions	0.2868	Z21_MEDICAL_OBSER_EVALU_SUSPECTED_DISEA_CONDI	Medical observation and evaluation for suspected diseases and conditions	Factors influencing health status and contact with health services	1.02921873014336
0.0738	Diseases of the genitourinary system	N14_PHIMOSIS	Redundant prepuce, phimosis and paraphimosis	0.2871	N14_PHIMOSIS	Redundant prepuce, phimosis and paraphimosis	Diseases of the genitourinary system	1.07659146566982
0.1292	Neoplasms from hospital discharges	CD2_BENIGN_HEMANGIOMA	Haemangioma, any site	0.2872	CD2_BENIGN_HEMANGIOMA	Haemangioma, any site	Neoplasms from hospital discharges	1.13791768494588
0.1327	Rheuma endpoints	RHEUMA_ARHTROPAT_REACTIVE	Reactive arthropathies, FINNGEN	0.2873	RHEUMA_ARHTROPAT_REACTIVE	Reactive arthropathies, FINNGEN	Rheuma endpoints	1.14190737472751
0.284	Injury, poisoning and certain other consequences of external causes	ST19_HYPOTHERMIA	Hypothermia	0.2875	ST19_HYPOTHERMIA	Hypothermia	Injury, poisoning and certain other consequences of external causes	1.32843293075279
-0.1961	Mental and behavioural disorders	F5_ANAPER	Anankastic personality disorder	0.288	F5_ANAPER	Anankastic personality disorder	Mental and behavioural disorders	0.821930037564643
0.1315	Neoplasms from cancer register	C3_RECTUM_EXALLC	Malignant neoplasm of rectum (other cancers excluded from controls)	0.2883	C3_RECTUM_EXALLC	Malignant neoplasm of rectum (other cancers excluded from controls)	Neoplasms from cancer register	1.14053790772237
-0.1135	Neoplasms from hospital discharges	CD2_BENIGN_LIPO_NOS	Benign lipomatous neoplasm of other sites/unspecified	0.2896	CD2_BENIGN_LIPO_NOS	Benign lipomatous neoplasm of other sites/unspecified	Neoplasms from hospital discharges	0.892704196411185
-0.0905	Diseases of the respiratory system	J10_ACUTELOWERNAS	Unspecified acute lower respiratory infection	0.2896	J10_ACUTELOWERNAS	Unspecified acute lower respiratory infection	Diseases of the respiratory system	0.913474333900953
0.1086	Diseases of the digestive system	K11_PERITON	Diseases of peritoneum	0.2911	K11_PERITON	Diseases of peritoneum	Diseases of the digestive system	1.11471637460241
-0.2506	Certain infectious and parasitic diseases	AB1_PROTOZOAL	Protozoal diseases	0.2917	AB1_PROTOZOAL	Protozoal diseases	Certain infectious and parasitic diseases	0.77833364275767
-0.1183	Diseases of the musculoskeletal system and connective tissue	M13_ENTESOPATHYFOOT	Oher enthesopathy of foot (+metatarsalgia)	0.292	M13_ENTESOPATHYFOOT	Oher enthesopathy of foot (+metatarsalgia)	Diseases of the musculoskeletal system and connective tissue	0.888429483786157
0.1066	Diseases of the skin and subcutaneous tissue	L12_ATROPHICSKIN	Atrophic disorders of skin	0.2921	L12_ATROPHICSKIN	Atrophic disorders of skin	Diseases of the skin and subcutaneous tissue	1.1124891698004
0.2112	Mental and behavioural disorders	F5_CONDUCTEMO	Mixed disorders of conduct and emotions	0.2927	F5_CONDUCTEMO	Mixed disorders of conduct and emotions	Mental and behavioural disorders	1.2351593622323
0.0783	Diseases of the genitourinary system	N14_FEMGENPAIN	Pain and other conditions associated with female genital organs and menstrual cycle	0.2934	N14_FEMGENPAIN	Pain and other conditions associated with female genital organs and menstrual cycle	Diseases of the genitourinary system	1.08144704412307
0.1405	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ABNORMAL_RESULTS_FUNCTION_STUDI	Abnormal results of function studies	0.2952	R18_ABNORMAL_RESULTS_FUNCTION_STUDI	Abnormal results of function studies	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.15084907956485
0.0488	Diseases of the genitourinary system	N14_PROSTHYPERPLA	Hyperplasia of prostate	0.2955	N14_PROSTHYPERPLA	Hyperplasia of prostate	Diseases of the genitourinary system	1.05001032767289
0.2088	Psychiatric endpoints	KRA_PSY_CODUCTEMOT	Mixed disorders of conduct and emotions	0.2956	KRA_PSY_CODUCTEMOT	Mixed disorders of conduct and emotions	Psychiatric endpoints	1.23219853417781
-0.0708	Diseases of the digestive system	K11_HAEMORR	Haemmorrhoids and perianal venous thrombosis	0.2958	K11_HAEMORR	Haemmorrhoids and perianal venous thrombosis	Diseases of the digestive system	0.931648203136497
-0.0465	Diseases of the musculoskeletal system and connective tissue	M13_ARTHROSIS_OTH	Other arthrosis	0.2962	M13_ARTHROSIS_OTH	Other arthrosis	Diseases of the musculoskeletal system and connective tissue	0.95456456056997
0.1783	Diseases of the ear and mastoid process	H8_NOISEINNER	Noise effects on inner ear	0.2976	H8_NOISEINNER	Noise effects on inner ear	Diseases of the ear and mastoid process	1.19518382260369
0.0529	Neoplasms from cancer register	C3_BREAST_EXALLC	Malignant neoplasm of breast (other cancers excluded from controls)	0.2986	C3_BREAST_EXALLC	Malignant neoplasm of breast (other cancers excluded from controls)	Neoplasms from cancer register	1.05432420742682
-0.2338	Factors influencing health status and contact with health services	Z21_PROBL_RELATED_EMPLO_UNEMP	Problems related to employment and unemployment	0.2993	Z21_PROBL_RELATED_EMPLO_UNEMP	Problems related to employment and unemployment	Factors influencing health status and contact with health services	0.791520104087055
-0.0624	Diseases of the digestive system	K11_OTHANRECT	Other diseases of anus and rectum	0.2999	K11_OTHANRECT	Other diseases of anus and rectum	Diseases of the digestive system	0.939507008816979
0.1853	Asthma and related endpoints	ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection	0.3009	ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection	Asthma and related endpoints	1.20357945980998
0.0212	Endocrine, nutritional and metabolic diseases	E4_ENDONUTRMET	Endocrine, nutritional and metabolic diseases	0.3013	E4_ENDONUTRMET	Endocrine, nutritional and metabolic diseases	Endocrine, nutritional and metabolic diseases	1.02142631647366
-0.2068	Diseases of the circulatory system	I9_RHEUVALV	Rheumatic valve diseases	0.3014	I9_RHEUVALV	Rheumatic valve diseases	Diseases of the circulatory system	0.813182270179046
0.0303	Psychiatric endpoints	KRA_PSY_MOOD	Mood disorders	0.3014	KRA_PSY_MOOD	Mood disorders	Psychiatric endpoints	1.03076371668879
-0.1488	Injury, poisoning and certain other consequences of external causes	ST19_OTHER_UNSPE_INJURI_LOWER_LEG	Other and unspecified injuries of lower leg	0.3027	ST19_OTHER_UNSPE_INJURI_LOWER_LEG	Other and unspecified injuries of lower leg	Injury, poisoning and certain other consequences of external causes	0.861741445954469
0.1591	Injury, poisoning and certain other consequences of external causes	ST19_FOREI_BODY_RESPI_TRACT	Foreign body in respiratory tract	0.3033	ST19_FOREI_BODY_RESPI_TRACT	Foreign body in respiratory tract	Injury, poisoning and certain other consequences of external causes	1.17245518633727
0.0838	Endocrine, nutritional and metabolic diseases	E4_DM1OPTH	Type 1 diabetes with ophthalmic complications	0.3036	E4_DM1OPTH	Type 1 diabetes with ophthalmic complications	Endocrine, nutritional and metabolic diseases	1.08741138978119
-0.1525	Pregnancy, childbirth and the puerperium	O15_PUERP_INFECT_OTHER	Other puerperal infections	0.3036	O15_PUERP_INFECT_OTHER	Other puerperal infections	Pregnancy, childbirth and the puerperium	0.858558893956395
0.1024	Diabetes endpoints	DM_MACULOPATHY	Diabetic maculopathy	0.3039	DM_MACULOPATHY	Diabetic maculopathy	Diabetes endpoints	1.10782651371912
0.1124	Other	ALCOLIVER	Alcoholic liver disease	0.304	ALCOLIVER	Alcoholic liver disease	Other	1.11896035528226
-0.1598	Pregnancy, childbirth and the puerperium	O15_MATERN_CARE_DISPROP	Maternal care for known or suspected disproportion	0.3042	O15_MATERN_CARE_DISPROP	Maternal care for known or suspected disproportion	Pregnancy, childbirth and the puerperium	0.852314234768017
0.0395	Diseases of the musculoskeletal system and connective tissue	JOINTPAIN	Pain in joint	0.3049	JOINTPAIN	Pain in joint	Diseases of the musculoskeletal system and connective tissue	1.04029049888496
-0.0701	Pregnancy, childbirth and the puerperium	O15_LABOUR_MALPOS	Obstructed labour due to malposition and malpresentation of fetus	0.306	O15_LABOUR_MALPOS	Obstructed labour due to malposition and malpresentation of fetus	Pregnancy, childbirth and the puerperium	0.932300585185771
0.166	Neoplasms from cancer register	C3_STOMACH_EXALLC	Malignant neoplasm of stomach (other cancers excluded from controls)	0.3065	C3_STOMACH_EXALLC	Malignant neoplasm of stomach (other cancers excluded from controls)	Neoplasms from cancer register	1.18057310172328
-0.1499	Diseases of the nervous system	G6_NEUROOTH	Other disorders of nervous system	0.307	G6_NEUROOTH	Other disorders of nervous system	Diseases of the nervous system	0.860794051526384
-0.1782	Diseases of the skin and subcutaneous tissue	L12_OTHPIGMENTATION	Other disorders of pigmentation	0.3074	L12_OTHPIGMENTATION	Other disorders of pigmentation	Diseases of the skin and subcutaneous tissue	0.836775051741803
0.1142	Diseases of the genitourinary system	N14_ENDOMETRIOSIS_NOS	Unspecified/other endometriosis	0.3076	N14_ENDOMETRIOSIS_NOS	Unspecified/other endometriosis	Diseases of the genitourinary system	1.12097629772567
0.2693	Diabetes endpoints	DM_AION	AION (anterior ischemic optic neuropathy)	0.3078	DM_AION	AION (anterior ischemic optic neuropathy)	Diabetes endpoints	1.30904779648415
0.0452	Diseases of the circulatory system	I9_MI	Myocardial infarction	0.3087	I9_MI	Myocardial infarction	Diseases of the circulatory system	1.04623708640265
